          bug_id  oriLines  purLines  oriChunks  purChunks   timeCost
0     Closure-15       3.0       3.0        1.0        1.0   369.7310
1     Closure-70       2.0       2.0        1.0        1.0   220.6960
2     Closure-35      17.0      11.0        1.0        6.0   789.0450
3       Math-104       2.0       2.0        1.0        1.0    54.2130
4        Math-80       2.0       2.0        1.0        1.0    77.0810
5      Closure-1       3.0       3.0        1.0        1.0   396.5890
6        Chart-8       2.0       2.0        1.0        1.0    85.7680
7        Math-41       2.0       2.0        1.0        1.0   106.3430
8     Mockito-28       3.0       3.0        1.0        1.0   299.4740
9     Closure-46      16.0      16.0        1.0        1.0   931.1620
10    Closure-38       2.0       2.0        1.0        1.0   225.5750
11       Math-59       2.0       2.0        1.0        1.0   112.1360
12   Closure-109       6.0       6.0        1.0        1.0   425.6580
13       Math-48       3.0       3.0        1.0        1.0   134.9480
14       Lang-16       2.0       2.0        1.0        1.0    48.6550
15    Closure-91       9.0       8.0        1.0        1.0   395.0380
16       Chart-9       2.0       2.0        1.0        1.0    65.5720
17       Lang-52       4.0       2.0        1.0        1.0    75.6910
18   Closure-118       3.0       3.0        1.0        1.0   329.0040
19   Closure-132       4.0       3.0        1.0        1.0   461.2640
20    Closure-51       2.0       2.0        1.0        1.0   224.1670
21    Closure-86       2.0       2.0        1.0        1.0   211.3510
22    Closure-69       7.0       7.0        1.0        1.0   621.0010
23    Closure-28       4.0       3.0        1.0        1.0   435.3100
24      Chart-11       2.0       2.0        1.0        1.0    80.9970
25       Math-11       2.0       2.0        1.0        1.0   178.5010
26        Lang-6       2.0       2.0        1.0        1.0   119.4610
27    Closure-10       2.0       2.0        1.0        1.0   250.6540
28      Chart-24       2.0       2.0        1.0        1.0    62.2770
29       Time-16       2.0       2.0        1.0        1.0   113.7860
30      Chart-17       3.0       3.0        1.0        1.0   114.5250
31    Closure-57       2.0       2.0        1.0        1.0   224.9560
32    Closure-14       2.0       2.0        1.0        1.0   380.4420
33   Closure-125       2.0       2.0        1.0        1.0   259.8570
34       Lang-43       1.0       1.0        1.0        1.0    61.3720
35       Math-96       2.0       1.0        1.0        1.0    67.9830
36       Math-27       2.0       2.0        1.0        1.0   150.3440
37       Lang-61       2.0       2.0        1.0        1.0    52.1120
38       Chart-6       9.0       9.0        1.0        1.0   237.7520
39    Mockito-29       2.0       2.0        1.0        1.0   297.4330
40       Math-56       8.0       4.0        1.0        3.0   479.6110
41       Time-24       5.0       5.0        1.0        1.0   158.7610
42   Closure-119       1.0       1.0        1.0        1.0   256.3520
43       Lang-51       1.0       1.0        1.0        1.0    37.9560
44      Math-105       2.0       2.0        1.0        1.0    44.3440
45       Lang-49       3.0       3.0        1.0        1.0    55.3130
46       Math-20       3.0       3.0        1.0        1.0   158.9620
47    Closure-52       2.0       2.0        1.0        1.0   240.0060
48    Closure-81       7.0       7.0        1.0        1.0   274.9500
49       Lang-54       3.0       3.0        1.0        1.0    53.9750
50       Time-25       9.0       9.0        1.0        1.0   213.4620
51    Mockito-22       4.0       4.0        1.0        1.0   453.4750
52       Lang-38       1.0       1.0        1.0        1.0    42.4290
53       Lang-40       9.0       9.0        1.0        1.0   133.7370
54      Chart-12       2.0       1.0        1.0        1.0   122.6180
55   Closure-122       3.0       3.0        1.0        1.0   304.9010
56    Closure-77       1.0       1.0        1.0        1.0   172.2830
57    Closure-62       2.0       2.0        1.0        1.0   212.8220
58        Math-2       2.0       2.0        1.0        1.0   183.4970
59       Lang-24       2.0       2.0        1.0        1.0    58.7530
60      Chart-23      19.0      15.0        1.0        1.0   302.8710
61       Math-63       2.0       2.0        1.0        1.0    95.0700
62       Math-91       4.0       4.0        1.0        1.0    91.5390
63       Lang-11       4.0       4.0        1.0        1.0    88.4020
64     Mockito-1      13.0      13.0        1.0        1.0  4787.4702
65       Chart-3       2.0       2.0        1.0        1.0    93.4560
66    Closure-83       5.0       5.0        1.0        1.0   560.8100
67    Closure-71       2.0       2.0        1.0        1.0   201.7870
68       Math-34       2.0       2.0        1.0        1.0   135.3510
69   Closure-114       2.0       2.0        1.0        1.0   437.1080
70    Closure-20       3.0       3.0        1.0        1.0   262.1310
71    Mockito-38       2.0       2.0        1.0        1.0   177.5600
72       Math-53       3.0       3.0        1.0        1.0   118.1070
73       Lang-59       2.0       2.0        1.0        1.0    61.4300
74        Time-4       2.0       2.0        1.0        1.0    80.3490
75       Math-70       2.0       2.0        1.0        1.0    70.7550
76   Closure-104       2.0       2.0        1.0        1.0   116.1100
77    Closure-12       6.0       6.0        1.0        1.0   334.2930
78        Math-9       3.0       3.0        1.0        1.0   275.2250
79   Closure-129       3.0       3.0        1.0        1.0   490.1340
80        Math-5       2.0       2.0        1.0        1.0   214.6320
81    Closure-36       3.0       3.0        1.0        1.0   268.8230
82      Chart-13       2.0       2.0        1.0        1.0    79.8580
83       Lang-44       3.0       3.0        1.0        1.0    57.6020
84       Math-82       2.0       2.0        1.0        1.0    63.4730
85    Closure-63       2.0       2.0        1.0        1.0   211.9230
86       Math-39       9.0       5.0        1.0        1.0   396.9690
87    Mockito-26       2.0       1.0        1.0        1.0   565.9860
88    Closure-82       4.0       4.0        1.0        1.0   254.5520
89       Lang-57       2.0       2.0        1.0        1.0    65.3600
90        Lang-2       3.0       3.0        1.0        1.0    95.1630
91       Math-30       2.0       2.0        1.0        1.0   138.6310
92   Closure-107       1.0       1.0        1.0        1.0   271.5450
93     Mockito-5       2.0       2.0        1.0        1.0   348.5100
94      Chart-20       2.0       2.0        1.0        1.0    81.1350
95     Mockito-7       1.0       1.0        1.0        1.0   320.8170
96    Mockito-24       2.0       2.0        1.0        1.0   523.7810
97      Chart-10       2.0       2.0        1.0        1.0    64.4130
98       Math-19      13.0      10.0        1.0        1.0   515.6200
99       Time-19       2.0       2.0        1.0        1.0   114.7000
100   Closure-31       1.0       1.0        1.0        1.0   257.4390
101      Math-45       5.0       5.0        1.0        1.0   197.5760
102      Math-75       2.0       2.0        1.0        1.0    76.6480
103   Closure-93       2.0       2.0        1.0        1.0   167.0740
104      Lang-26       2.0       2.0        1.0        1.0    57.9010
105      Math-69       2.0       1.0        1.0        1.0    94.5120
106      Math-50       4.0       4.0        1.0        1.0   216.1310
107      Lang-45       3.0       3.0        1.0        1.0    57.9090
108      Time-11       9.0       9.0        1.0        1.0   175.1850
109   Closure-73       2.0       2.0        1.0        1.0   187.7140
110  Closure-126       4.0       3.0        1.0        2.0   461.0230
111   Closure-61       6.0       6.0        1.0        1.0   346.1830
112      Lang-39       3.0       3.0        1.0        1.0    61.7480
113  Closure-120       3.0       3.0        1.0        1.0   314.4940
114      Math-57       2.0       2.0        1.0        1.0   116.2020
115   Closure-65       2.0       2.0        1.0        1.0   207.6350
116   Mockito-27       3.0       3.0        1.0        1.0   284.2490
117   Closure-33       3.0       3.0        1.0        1.0   271.1470
118      Chart-1       2.0       2.0        1.0        1.0    77.5420
119   Closure-97       3.0       2.0        1.0        1.0   240.7070
120    Closure-5       3.0       3.0        1.0        1.0   278.5200
121       Lang-9       3.0       3.0        1.0        1.0   106.3600
122  Closure-111       3.0       3.0        1.0        1.0   330.7340
123    Mockito-8       2.0       2.0        1.0        1.0   606.7500
124     Math-101       3.0       2.0        1.0        1.0    97.7080
125   Closure-59       3.0       3.0        1.0        1.0   257.5850
126   Closure-11       2.0       1.0        1.0        1.0   423.9420
127   Closure-55       3.0       3.0        1.0        1.0   281.6220
128      Lang-25      54.0       1.0        1.0        1.0   188.5600
129      Math-73       4.0       4.0        1.0        1.0    75.3570
130      Math-33       2.0       2.0        1.0        1.0   124.9260
131   Closure-92       2.0       2.0        1.0        1.0   164.5340
132      Time-15       3.0       3.0        1.0        1.0    87.5660
133   Closure-67       2.0       2.0        1.0        1.0   183.2230
134  Closure-113       2.0       2.0        1.0        1.0   272.0220
135   Closure-18       2.0       2.0        1.0        1.0   228.2620
136      Lang-33       2.0       2.0        1.0        1.0    59.0350
137      Math-32       2.0       2.0        1.0        1.0   126.2510
138  Closure-130       2.0       2.0        1.0        1.0   259.1980
139  Closure-123       2.0       2.0        1.0        1.0   270.9700
140  Closure-133       1.0       1.0        1.0        1.0   242.0140
141   Mockito-34       2.0       2.0        1.0        1.0   247.6680
142      Math-58       2.0       2.0        1.0        1.0   117.6390
143      Lang-58       3.0       1.0        1.0        1.0    39.9660
144      Lang-29       2.0       2.0        1.0        1.0   198.0860
145      Lang-21       2.0       1.0        1.0        1.0    66.6880
146      Math-85       2.0       2.0        1.0        1.0    63.0430
147      Math-10       1.0       1.0        1.0        1.0   177.5700
148      Math-94       2.0       2.0        1.0        1.0    56.4600
149   Mockito-18       2.0       2.0        1.0        1.0   715.0070
150      Math-35       4.0       2.0        2.0        2.0   372.6000
151      Lang-55       2.0       2.0        2.0        2.0    43.0650
152       Math-4       6.0       6.0        2.0        2.0   316.7240
153  Closure-102       2.0       1.0        2.0        1.0   198.8810
154      Time-10       3.0       3.0        2.0        2.0   136.3450
155   Closure-42       7.0       6.0        2.0        2.0   510.9280
156   Mockito-33      13.0      13.0        2.0        2.0   420.3750
157      Math-99       8.0       8.0        2.0        2.0   105.5340
158  Closure-121       4.0       4.0        2.0        2.0   446.4880
159   Closure-58       4.0       4.0        2.0        2.0   285.0800
160   Closure-17       6.0       5.0        2.0        2.0   534.4370
161   Closure-48      11.0      10.0        2.0        2.0  1048.8070
162   Closure-74      17.0      17.0        2.0        2.0   694.9550
163  Closure-124       2.0       2.0        2.0        2.0   256.5050
164      Lang-28       6.0       6.0        2.0        2.0    98.1790
165      Math-25       3.0       3.0        2.0        2.0   160.9650
166   Closure-79       3.0       3.0        2.0        2.0   232.8460
167       Math-8       4.0       4.0        2.0        2.0   289.4880
168  Closure-131       3.0       2.0        2.0        1.0   450.4000
169   Closure-72       4.0       4.0        2.0        2.0   241.5610
170   Closure-53       4.0       4.0        2.0        2.0   274.3450
171      Math-17       4.0       4.0        2.0        2.0   168.7540
172  Closure-112      10.0       8.0        2.0        3.0   910.9830
173   Closure-44       2.0       2.0        2.0        2.0   282.3640
174      Lang-22       8.0       2.0        2.0        1.0    72.0440
175      Lang-20       4.0       4.0        2.0        2.0    92.8370
176      Lang-34       4.0       4.0        2.0        2.0   193.9310
177   Closure-40       4.0       4.0        2.0        2.0   299.2730
178      Lang-36      10.0       7.0        2.0        2.0   161.4860
179       Lang-5      21.0      21.0        2.0        2.0   367.0630
180      Chart-5       6.0       4.0        2.0        1.0   220.8120
181   Mockito-32       6.0       6.0        2.0        2.0   477.3530
182      Math-29      19.0      15.0        2.0        3.0   670.4540
183      Time-14       5.0       5.0        2.0        2.0   171.7770
184  Closure-116      12.0      11.0        2.0        2.0   877.4560
185       Math-1       6.0       6.0        2.0        2.0   274.7360
186      Lang-48       4.0       3.0        2.0        2.0    80.6030
187      Chart-7       4.0       2.0        2.0        1.0    95.9590
188      Math-86       6.0       3.0        2.0        1.0   114.0180
189      Math-60      13.0      10.0        2.0        5.0   206.3530
190   Closure-56       4.0       4.0        2.0        2.0   288.9900
191      Math-77      11.0      10.0        2.0        3.0   245.5930
192       Time-5      18.0      10.0        2.0        3.0  1431.1400
193      Lang-14       3.0       3.0        2.0        2.0    65.4570
194      Math-90       3.0       3.0        2.0        2.0   102.6870
195      Math-79       4.0       2.0        2.0        1.0   105.9810
196   Closure-13       2.0       2.0        2.0        2.0   287.0260
197      Lang-42       9.0       9.0        2.0        2.0   188.7790
198      Time-27       2.0       2.0        2.0        2.0    67.9930
199   Closure-19       2.0       2.0        2.0        2.0   246.8300
200      Math-62       7.0       2.0        2.0        1.0   210.9190
201      Chart-4       2.0       2.0        2.0        2.0   175.9880
202      Time-18      12.0      10.0        2.0        2.0   225.8770
203   Mockito-37       8.0       8.0        2.0        2.0   288.2240
204   Closure-21      21.0      21.0        2.0        2.0  1339.4990
205      Lang-47       6.0       6.0        2.0        2.0   100.8520
206   Closure-23       8.0       8.0        2.0        2.0   411.5000
207    Closure-9       3.0       1.0        2.0        1.0   203.2550
208   Closure-66       2.0       2.0        2.0        2.0   231.0310
209   Closure-41       9.0       9.0        2.0        2.0  1335.2260
210      Math-67       4.0       3.0        2.0        2.0   130.9990
211      Math-13       9.0       9.0        2.0        2.0   354.3630
212      Lang-27       5.0       3.0        2.0        1.0    84.3610
213  Closure-100       9.0       9.0        2.0        2.0   383.7520
214   Closure-89       5.0       5.0        2.0        2.0   462.5570
215      Time-22       7.0       5.0        2.0        1.0   296.7800
216    Closure-4       4.0       2.0        2.0        1.0   265.4900
217      Math-71       7.0       4.0        2.0        2.0   310.9390
218      Math-46       4.0       3.0        2.0        2.0   295.2520
219      Math-22       4.0       4.0        2.0        2.0   201.1330
220      Math-89       4.0       4.0        2.0        2.0    86.8750
221       Time-7       2.0       2.0        2.0        2.0    92.0920
222      Math-54       8.0       8.0        2.0        2.0   179.0080
223   Closure-88       6.0       5.0        2.0        1.0   399.9570
224      Lang-15       8.0       8.0        2.0        2.0   113.2280
225  Closure-101       4.0       3.0        2.0        3.0   224.5230
226     Chart-16       6.0       4.0        2.0        2.0   273.1820
227      Lang-10       9.0       5.0        2.0        3.0   461.2120
228   Closure-78       2.0       1.0        2.0        1.0   212.4330
229      Math-72       4.0       2.0        2.0        2.0   109.9700
230    Closure-8       4.0       4.0        2.0        2.0   294.4100
231     Chart-19       6.0       6.0        2.0        2.0   164.8770
232      Math-65       9.0       8.0        2.0        2.0   440.4140
233      Math-40      10.0       4.0        2.0        1.0   742.4550
234   Closure-90       5.0       5.0        2.0        2.0   235.1660
235   Closure-80       2.0       2.0        2.0        2.0   238.8920
236      Math-24       4.0       2.0        2.0        1.0   492.5640
237      Math-98       4.0       4.0        2.0        2.0    82.6880
238      Math-61       4.0       3.0        2.0        2.0   182.4250
239   Mockito-31       4.0       4.0        2.0        2.0   239.9850
240      Math-26       4.0       4.0        2.0        2.0   172.6340
241      Lang-18       6.0       3.0        2.0        2.0   113.9370
242      Lang-60       4.0       4.0        2.0        2.0    70.4380
243     Chart-26       2.0       2.0        2.0        2.0   160.3070
244   Mockito-36       4.0       4.0        2.0        2.0   229.0480
245  Closure-128       5.0       4.0        2.0        2.0   634.5110
246      Math-15       3.0       3.0        2.0        2.0   189.1600
247  Closure-115      11.0       9.0        2.0        3.0  1783.9611
248      Lang-35       4.0       2.0        2.0        2.0   114.0940
249     Math-103      10.0       9.0        2.0        2.0   169.8960
250       Math-3       3.0       3.0        2.0        2.0   212.5770
251  Closure-127      11.0      10.0        2.0        2.0   575.2010
252      Math-42       4.0       3.0        2.0        2.0   321.5460
253   Closure-95       7.0       7.0        2.0        2.0   224.6100
254      Math-12       5.0       4.0        3.0        2.0   383.5020
255   Closure-50       7.0       6.0        3.0        3.0   539.4430
256      Lang-37       8.0       7.0        3.0        3.0   134.4340
257   Closure-29      10.0      10.0        3.0        3.0   686.3240
258      Lang-23      31.0      23.0        3.0        3.0   932.7600
259      Lang-12       7.0       4.0        3.0        2.0   121.3980
260   Closure-34       8.0       5.0        3.0        4.0   626.3270
261       Lang-1      13.0      12.0        3.0        3.0   223.8970
262   Mockito-20       5.0       5.0        3.0        3.0  1632.9600
263      Math-83       6.0       4.0        3.0        2.0   188.5480
264  Closure-106       6.0       5.0        3.0        3.0   210.6310
265    Mockito-3      20.0      20.0        3.0        3.0  3074.8149
266    Mockito-2       7.0       7.0        3.0        3.0   627.3340
267    Closure-3      10.0      10.0        3.0        3.0   552.7420
268    Closure-7       6.0       4.0        3.0        3.0   806.4840
269      Math-95       4.0       3.0        3.0        3.0    77.1240
270     Chart-15       5.0       5.0        3.0        3.0   203.6110
271   Closure-26       5.0       5.0        3.0        3.0   509.8650
272      Math-87       6.0       6.0        3.0        3.0    96.7500
273       Time-2       8.0       3.0        3.0        1.0   147.4040
274      Math-93      12.0       9.0        3.0        2.0   236.8180
275   Closure-47      11.0       9.0        3.0        3.0  1161.8500
276      Time-13       6.0       4.0        3.0        2.0   193.6640
277   Mockito-15       3.0       3.0        3.0        3.0   279.6470
278       Time-8       7.0       7.0        3.0        3.0   129.9240
279   Mockito-12       4.0       4.0        3.0        3.0   531.1040
280   Mockito-13       4.0       4.0        3.0        3.0   296.7070
281   Mockito-30       5.0       5.0        3.0        3.0   316.6080
282      Math-74      11.0       7.0        3.0        4.0  1467.0620
283      Time-20      10.0       8.0        3.0        3.0   301.6510
284   Mockito-35       6.0       6.0        3.0        3.0   382.3550
285      Lang-56       8.0       2.0        3.0        1.0   104.6950
286      Math-51       9.0       7.0        3.0        2.0   334.5430
287   Closure-27       9.0       6.0        3.0        3.0  1319.4659
288       Time-6      26.0      21.0        3.0        3.0  1408.3840
289  Closure-103       8.0       8.0        3.0        3.0   213.3800
290       Lang-8       3.0       3.0        3.0        3.0   118.2420
291   Closure-94      19.0       3.0        3.0        2.0   886.0520
292      Math-81       7.0       2.0        3.0        1.0    97.5520
293      Math-43       6.0       6.0        3.0        3.0   191.1580
294   Closure-60       5.0       3.0        3.0        3.0   732.8060
295   Mockito-11      10.0       7.0        3.0        2.0  1105.4840
296     Math-100       6.0       3.0        3.0        3.0   186.8060
297   Closure-37       6.0       5.0        3.0        3.0   468.7520
298   Closure-84      27.0      19.0        3.0        3.0  1113.1940
299      Math-52       7.0       3.0        3.0        1.0   196.9720
300   Closure-96       5.0       5.0        3.0        3.0   207.8260
301   Closure-39       6.0       6.0        3.0        3.0   436.3520
302      Math-38       8.0       5.0        3.0        2.0   745.2730
303       Time-1      14.0       6.0        3.0        1.0   233.3760
304  Closure-117      24.0      24.0        3.0        3.0  1938.2629
305   Closure-75       5.0       3.0        3.0        2.0   357.2280
306      Math-14      14.0      14.0        3.0        3.0   376.1480
307       Lang-7       6.0       3.0        3.0        1.0   135.1940
308      Math-84       9.0       2.0        3.0        2.0   235.6510
309    Mockito-9       5.0       5.0        3.0        3.0   718.5450
310      Math-78      11.0       6.0        3.0        3.0   295.1230
311    Mockito-4       7.0       5.0        3.0        3.0  1906.0000
312    Closure-2       4.0       4.0        3.0        3.0   292.2740
313      Math-44       7.0       5.0        3.0        2.0   293.0700
314     Math-102      17.0      17.0        3.0        3.0   366.0900
315   Closure-43      17.0      16.0        4.0        4.0  1005.0190
316      Math-49       8.0       3.0        4.0        2.0   274.0620
317      Lang-31       8.0       7.0        4.0        4.0   137.1750
318    Closure-6       8.0       7.0        4.0        5.0   790.4570
319      Lang-13      19.0      17.0        4.0        4.0   472.5120
320      Lang-53       4.0       4.0        4.0        4.0    71.3340
321      Math-88      11.0      10.0        4.0        4.0   250.8520
322      Lang-63      23.0       1.0        4.0        1.0   153.8910
323   Closure-24       7.0       7.0        4.0        4.0   593.3040
324   Closure-25       6.0       2.0        4.0        2.0   664.3730
325       Lang-4       8.0       1.0        4.0        1.0   245.3880
326     Chart-14      12.0      12.0        4.0        4.0   317.5660
327       Math-7      17.0      12.0        4.0        5.0  1734.0190
328      Lang-62       8.0       7.0        4.0        3.0   157.5540
329      Math-28       4.0       2.0        4.0        2.0   230.0360
330   Closure-87      14.0      11.0        4.0        4.0   576.1260
331     Chart-21      39.0      28.0        4.0        1.0   973.7830
332      Lang-32      25.0      23.0        4.0        4.0   395.3130
333     Math-106       8.0       6.0        4.0        4.0   164.6910
334      Math-31      46.0      24.0        4.0       10.0  3789.7571
335   Closure-64       8.0       6.0        4.0        3.0   324.6870
336      Math-47       8.0       7.0        4.0        4.0   370.0730
337      Math-36      12.0      12.0        4.0        4.0   262.2560
338   Closure-85      22.0      16.0        4.0        8.0  1536.4050
339  Closure-108       5.0       4.0        4.0        3.0   626.5650
340   Closure-68       4.0       1.0        4.0        1.0   394.4400
341   Closure-45       8.0       6.0        4.0        3.0   541.2470
342       Lang-3       4.0       4.0        4.0        4.0   106.1050
343   Closure-99       7.0       7.0        4.0        4.0   260.3600
344      Math-37      16.0      16.0        4.0        4.0   342.0010
345      Math-97      18.0       7.0        5.0        2.0   340.2340
346   Closure-22      28.0      23.0        5.0        9.0  1158.5300
347      Math-18      10.0       2.0        5.0        2.0   853.2260
348  Closure-105      12.0      11.0        5.0        5.0   463.3260
349      Time-21      22.0      16.0        5.0        6.0   831.0540
350      Math-55      19.0      16.0        5.0        5.0   590.3340
351   Mockito-16       9.0       9.0        5.0        5.0   251.3290
352      Lang-19      12.0      10.0        5.0        5.0   269.1810
353   Mockito-14       6.0       6.0        5.0        5.0  4047.8721
354       Time-9      12.0       3.0        5.0        1.0   202.0860
355      Math-23      11.0       9.0        5.0        4.0   681.6920
356   Mockito-21      24.0      15.0        5.0        4.0  1897.5090
357      Lang-64      21.0      15.0        5.0        5.0   277.4060
358   Closure-98      19.0      18.0        5.0        5.0   847.3440
359   Closure-54      15.0      13.0        5.0        5.0  1102.3370
360      Time-17      23.0      22.0        5.0        5.0   410.0850
361   Closure-16      12.0      11.0        5.0        5.0  1079.3260
362   Closure-32      18.0      16.0        6.0        6.0  1599.2460
363      Lang-17      12.0       9.0        6.0        7.0   820.3020
364      Math-21      23.0      15.0        6.0        5.0  1041.4980
365      Lang-50      16.0      14.0        6.0        8.0   264.3260
366   Mockito-17      11.0      11.0        6.0        6.0   341.9980
367     Chart-25      16.0      16.0        6.0        6.0   312.1300
368     Chart-18      14.0      13.0        6.0        6.0   208.7490
369   Closure-30      12.0      10.0        6.0        5.0  1031.1660
370   Mockito-10      15.0      15.0        7.0        7.0   761.0190
371     Chart-22      35.0      19.0        7.0        6.0   505.6020
372      Time-26      14.0       2.0        7.0        1.0   127.3220
373      Time-23      17.0       6.0        8.0        4.0   838.2270
374      Time-12      16.0      16.0        8.0        8.0   433.5620
375   Closure-49      22.0      19.0        8.0        7.0  4945.2490
376      Chart-2      14.0      13.0        8.0        7.0   487.6410
377      Lang-41      23.0      23.0        8.0        8.0   617.9100
378   Mockito-23      21.0      21.0        8.0        8.0  1067.2841
379      Lang-65      30.0      30.0        8.0        8.0   257.1160
380      Math-68      14.0      12.0        9.0        8.0   243.7340
381      Lang-46      17.0      11.0        9.0        6.0   346.1970
382   Mockito-25      35.0      34.0       10.0       10.0  1464.7660
383   Closure-76      43.0      23.0       11.0        7.0  2371.5840
384   Mockito-19      34.0      34.0       11.0       11.0  4139.4189
385      Math-16      23.0      23.0       11.0       11.0   633.5930
386  Closure-110      29.0      29.0       12.0       12.0  3990.5620
387      Math-92      55.0      19.0       12.0        7.0   391.5970
388      Math-76      22.0       9.0       12.0        5.0   274.9220
389      Math-66      33.0      24.0       12.0       10.0  1101.9480
390      Math-64      30.0      10.0       13.0        7.0  1449.7860
391       Math-6      30.0      12.0       17.0        9.0  5997.2241
392      Lang-30      48.0      44.0       20.0       19.0  1671.6750
393       Time-3      20.0      10.0       20.0       10.0   433.9350
394    Mockito-6      40.0      40.0       20.0       20.0  5979.9189
